"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.04.2024","35.740,0","35.040,0","35.740,0","35.000,0","96,80K","2,11%"
"02.04.2024","35.000,0","35.000,0","35.420,0","34.980,0","217,39K","0,00%"
"01.04.2024","35.000,0","34.320,0","35.000,0","34.320,0","398,10K","2,10%"
"27.03.2024","34.280,0","34.380,0","34.920,0","34.260,0","101,62K","0,23%"
"26.03.2024","34.200,0","34.500,0","35.000,0","34.200,0","153,85K","-2,56%"
"22.03.2024","35.100,0","34.640,0","35.100,0","34.200,0","121,18K","1,27%"
"21.03.2024","34.660,0","33.000,0","34.660,0","33.000,0","305,16K","2,54%"
"20.03.2024","33.800,0","33.080,0","33.800,0","33.000,0","589,42K","2,67%"
"19.03.2024","32.920,0","32.880,0","33.480,0","32.880,0","204,70K","0,12%"
"18.03.2024","32.880,0","31.700,0","33.120,0","31.700,0","341,88K","3,72%"
"15.03.2024","31.700,0","31.780,0","34.000,0","31.600,0","13,67M","0,00%"
"14.03.2024","31.700,0","32.140,0","32.200,0","31.700,0","366,11K","-0,31%"
"13.03.2024","31.800,0","32.100,0","32.280,0","31.800,0","219,17K","-0,31%"
"12.03.2024","31.900,0","32.500,0","32.500,0","31.900,0","355,44K","-2,15%"
"11.03.2024","32.600,0","32.720,0","32.740,0","32.380,0","111,33K","-0,55%"
"08.03.2024","32.780,0","33.800,0","33.800,0","32.700,0","134,59K","-2,32%"
"07.03.2024","33.560,0","33.840,0","34.000,0","33.560,0","189,73K","-0,53%"
"06.03.2024","33.740,0","33.420,0","33.920,0","33.420,0","216,58K","1,02%"
"05.03.2024","33.400,0","33.360,0","33.700,0","33.340,0","192,11K","0,60%"
"04.03.2024","33.200,0","33.360,0","33.640,0","33.000,0","221,87K","0,61%"
"01.03.2024","33.000,0","32.860,0","33.400,0","32.860,0","176,65K","0,18%"
"29.02.2024","32.940,0","33.420,0","34.000,0","32.940,0","781,41K","-1,61%"
"28.02.2024","33.480,0","33.480,0","34.540,0","33.480,0","100,06K","0,00%"
"27.02.2024","33.480,0","33.440,0","33.740,0","33.380,0","140,23K","-0,06%"
"26.02.2024","33.500,0","34.000,0","34.320,0","33.500,0","200,64K","-1,35%"
"23.02.2024","33.960,0","32.800,0","33.980,0","32.800,0","356,48K","1,98%"
"22.02.2024","33.300,0","32.460,0","33.300,0","32.400,0","689,69K","3,22%"
"21.02.2024","32.260,0","32.500,0","32.800,0","32.020,0","1,80M","0,19%"
"20.02.2024","32.200,0","31.000,0","32.200,0","31.000,0","737,26K","5,23%"
"19.02.2024","30.600,0","32.820,0","32.820,0","30.600,0","551,39K","-10,00%"
"16.02.2024","34.000,0","33.240,0","34.000,0","33.180,0","24,93K","1,61%"
"15.02.2024","33.460,0","32.860,0","33.460,0","32.700,0","27,29K","2,32%"
"14.02.2024","32.700,0","32.860,0","33.500,0","32.600,0","115,68K","-0,85%"
"13.02.2024","32.980,0","32.900,0","32.980,0","32.540,0","20,81K","0,12%"
"12.02.2024","32.940,0","32.780,0","33.060,0","32.780,0","13,47K","1,04%"
"09.02.2024","32.600,0","33.060,0","33.160,0","32.600,0","112,86K","-1,33%"
"08.02.2024","33.040,0","33.700,0","33.700,0","33.040,0","60,59K","-1,61%"
"07.02.2024","33.580,0","34.000,0","34.000,0","33.580,0","129,12K","-1,18%"
"06.02.2024","33.980,0","34.040,0","34.080,0","33.780,0","156,78K","0,06%"
"05.02.2024","33.960,0","34.160,0","34.320,0","33.900,0","29,27K","-0,70%"
"02.02.2024","34.200,0","33.600,0","34.300,0","33.600,0","46,29K","1,24%"
"01.02.2024","33.780,0","32.920,0","33.980,0","32.880,0","167,76K","3,11%"
"31.01.2024","32.760,0","33.160,0","33.480,0","32.760,0","70,85K","-0,73%"
"30.01.2024","33.000,0","33.120,0","33.240,0","32.920,0","146,32K","-0,30%"
"29.01.2024","33.100,0","33.160,0","33.200,0","32.780,0","87,25K","-0,18%"
"26.01.2024","33.160,0","32.860,0","33.200,0","32.860,0","53,35K","1,66%"
"25.01.2024","32.620,0","33.160,0","33.160,0","32.600,0","143,34K","-2,86%"
"24.01.2024","33.580,0","32.640,0","33.720,0","32.620,0","140,68K","3,01%"
"23.01.2024","32.600,0","33.000,0","33.220,0","32.600,0","205,95K","-1,15%"
"22.01.2024","32.980,0","33.420,0","33.480,0","32.980,0","120,39K","-1,96%"
"19.01.2024","33.640,0","34.060,0","34.060,0","33.200,0","82,58K","-1,06%"
"18.01.2024","34.000,0","34.820,0","34.820,0","34.000,0","135,65K","-2,86%"
"17.01.2024","35.000,0","34.940,0","35.340,0","34.520,0","247,68K","0,00%"
"16.01.2024","35.000,0","35.100,0","35.320,0","35.000,0","111,91K","-0,17%"
"15.01.2024","35.060,0","34.120,0","35.200,0","34.120,0","11,82K","0,17%"
"12.01.2024","35.000,0","34.400,0","35.000,0","33.680,0","52,88K","1,51%"
"11.01.2024","34.480,0","34.500,0","34.780,0","34.480,0","56,38K","-0,06%"
"10.01.2024","34.500,0","35.520,0","35.520,0","34.040,0","50,83K","-3,85%"
"09.01.2024","35.880,0","36.240,0","36.240,0","35.880,0","76,74K","-2,76%"
"05.01.2024","36.900,0","36.000,0","36.900,0","35.980,0","80,38K","2,50%"
"04.01.2024","36.000,0","34.000,0","36.000,0","33.940,0","138,85K","6,45%"
"03.01.2024","33.820,0","33.500,0","33.820,0","33.500,0","75,77K","-0,18%"
"02.01.2024","33.880,0","33.160,0","33.880,0","33.160,0","121,44K","2,05%"
"28.12.2023","33.200,0","32.880,0","33.200,0","32.800,0","63,78K","0,91%"
"27.12.2023","32.900,0","32.280,0","32.900,0","32.280,0","127,93K","1,86%"
"26.12.2023","32.300,0","31.900,0","32.300,0","31.860,0","62,79K","0,31%"
"22.12.2023","32.200,0","31.880,0","32.300,0","31.640,0","46,85K","-0,31%"
"21.12.2023","32.300,0","31.800,0","32.300,0","31.540,0","137,91K","1,57%"
"20.12.2023","31.800,0","32.000,0","32.440,0","31.660,0","200,98K","-0,56%"
"19.12.2023","31.980,0","32.500,0","32.500,0","31.860,0","109,82K","-1,60%"
"18.12.2023","32.500,0","31.780,0","32.500,0","31.780,0","79,50K","2,20%"
"15.12.2023","31.800,0","31.900,0","31.920,0","31.200,0","706,20K","-0,31%"
"14.12.2023","31.900,0","32.460,0","32.460,0","31.860,0","221,09K","-0,31%"
"13.12.2023","32.000,0","31.000,0","32.000,0","31.000,0","135,56K","2,43%"
"12.12.2023","31.240,0","31.140,0","31.240,0","30.860,0","25,72K","1,10%"
"11.12.2023","30.900,0","30.740,0","31.500,0","30.740,0","74,02K","-3,38%"
